Header_1,Header_2,Header_3,content
**Глава 3\. Подходы к определению величины коэффициента внутренних потерь**,Пункт 3.3,Пункт 3.3.6,"Кредитная организация определяет величину *d*k,l,j следующим образом.
Кредитная организация определяет количество дней между датой отражения возмещения, отнесенного на покрытие l-й потери по k-му событию операционного риска, зарегистрированному в базе событий, на счетах бухгалтерского учета в соответствии с [абзацем сорок третьим пункта6.6](http://ivo.garant.ru/document/redirect/74279372/6644) Положения Банка России N716-П (далее \- дата возмещения) и датой прямой потери и применяет величину *d*k,l,j следующим образом:
в случае если дата возмещения наступила раньше, чем дата прямой потери, кредитная организация применяет величину *d*k,l,j, равную единице;
в случае если количество дней между датой возмещения и датой прямой потери не превышает 365, кредитная организация применяет величину *d*k,l,j, равную единице;
в случае если количество дней между датой возмещения и датой прямой потери превышает 365, кредитная организация рассчитывает величину *d*k,l,j по формуле:  
,  
где:
rk,1 \- эффективная процентная ставка, определенная кредитной организацией во внутренних документах, действующая на дату прямой потери, в соответствии с [пунктом 1.5](http://ivo.garant.ru/document/redirect/406061307/15) Положения Банка России от 24 ноября 2022года N810-П ""О порядке отражения на счетах бухгалтерского учета кредитными организациями доходов, расходов и прочего совокупного дохода"" (зарегистрировано Минюстом России 29 декабря 2022года, регистрационный N71868);
*N*Д \- количество дней между датой возмещения и датой прямой потери."
**Глава 3\. Подходы к определению величины коэффициента внутренних потерь**,Пункт 3.3,Пункт 3.3.7,"Кредитная организация рассчитывает величину КИИm по формуле:  
,  
где:
Иz \- значение [индекса](http://ivo.garant.ru/document/redirect/149900/0) потребительских цен на товары и услуги, приведенное на [сайте](http://ivo.garant.ru/document/redirect/990941/319) Федеральной службы государственной статистики Российской Федерации в соответствии с [абзацем шестым подпункта3.3.1](#bookmark=id.sqyw64) настоящего пункта.
Кредитная организация осуществляет произведение по всем Иz, включенным в период сгода, следующего за m-м годом, догода, предшествующего расчетному году."
**Глава 3\. Подходы к определению величины коэффициента внутренних потерь**,Пункт 3.3,Пункт 3.3.8,"Для целей соблюдения требований [подпункта3.5.1 пункта3.5](#bookmark=id.1baon6m) настоящего Положения кредитная организация определяет общую величину чистых прямых потерь от k-го события операционного риска (далее \- ЧПk) по состоянию на расчетную дату i-гогода по формуле:  
,  
где:
*L*k \- количество прямых потерь, отраженных на счетах бухгалтерского учета, по k-му событию операционного риска, зарегистрированному в базе событий, в период расчета ПП в соответствии с [пунктом3.4](#bookmark=id.3hv69ve) настоящего Положения."
**Глава 3\. Подходы к определению величины коэффициента внутренних потерь**,Пункт 3.4,,"Кредитная организация в целях расчета СЧПi по формуле, приведенной в [абзаце втором подпункта3.3.1 пункта3.3](#bookmark=id.2dlolyb) настоящего Положения, применяет один из следующих периодов расчета ПП:
от 5 полных лет до 10 полных лет до даты начала расчетногогода (далее \- сокращенный период расчета ПП);
10 полных лет до даты начала расчетногогода (далее \- полный период расчета ПП)."
**Глава 3\. Подходы к определению величины коэффициента внутренних потерь**,Пункт 3.4,Пункт 3.4.1,"В случае если в базе событий кредитной организации отсутствуют данные о прямых потерях от реализации событий операционного риска за полный период расчета ПП, кредитная организация включает в расчет ПП данные о чистых прямых потерях за сокращенный периода[\#](http://ivo.garant.ru/document/redirect/3100000/0) расчета ПП."
**Глава 3\. Подходы к определению величины коэффициента внутренних потерь**,Пункт 3.4,Пункт 3.4.2,"В случае если кредитная организация рассчитывает ПП за сокращенный период расчета ПП, по мере накопления в базе событий данных о чистых прямых потерях от реализации событий операционного риска кредитная организация включает в расчет чистых прямых потерь данные о прямых потерях и возмещениях за каждый следующий год до начала использования полного периода расчета ПП."
**Глава 3\. Подходы к определению величины коэффициента внутренних потерь**,Пункт 3.5,,"Кредитная организация включает в расчет ППi на расчетную дату i-гогода чистые прямые потери от реализации события операционного риска с учетом следующего.  
Информация об изменениях:  
*Подпункт 3.5.1 изменен с 1 октября 2024г. \- [Указание](http://ivo.garant.ru/document/redirect/408990212/151) Банка России от 15 января 2024г. N 6674-У*  
*[См. предыдущую редакцию](http://ivo.garant.ru/document/redirect/76824743/351)*"
**Глава 3\. Подходы к определению величины коэффициента внутренних потерь**,Пункт 3.5,Пункт 3.5.1,"В расчет ПП включается величина чистых прямых потерь от реализации событий операционного риска (группы событий операционного риска), для которых величина ЧПk превышает порог включения в расчет СЧП (далее \- порог включения):
банк, размер активов которого составляет 500 миллиардов рублей и более, применяет порог включения в размере 350 тысяч рублей;
банк, размер активов которого составляет менее 500 миллиардов рублей, или небанковская кредитная организация применяет порог включения в размере 100 тысяч рублей."
**Глава 3\. Подходы к определению величины коэффициента внутренних потерь**,Пункт 3.5,Пункт 3.5.2,"Возмещения, поступившие на покрытие конкретных прямых потерь, относятся кредитной организацией на покрытие этих прямых потерь. При наличии нераспределенных поступивших возмещений кредитная организация относит их на покрытие более ранних прямых потерь в хронологическом порядке.  
Информация об изменениях:  
*Подпункт 3.5.3 изменен с 1 октября 2024г. \- [Указание](http://ivo.garant.ru/document/redirect/408990212/152) Банка России от 15 января 2024г. N 6674-У*  
*[См. предыдущую редакцию](http://ivo.garant.ru/document/redirect/76824743/353)*"
**Глава 3\. Подходы к определению величины коэффициента внутренних потерь**,Пункт 3.5,Пункт 3.5.3,"Кредитная организация не учитывает в расчете СЧП возмещения, поступившие на покрытие прямых потерь от реализации события операционного риска, отраженные на счетах в бухгалтерском учете ранее периода расчета ПП, применяемого кредитной организацией в соответствии с [пунктом 3.4](#bookmark=id.3hv69ve) настоящего Положения."
**Глава 3\. Подходы к определению величины коэффициента внутренних потерь**,Пункт 3.5,Пункт 3.5.4,"Возмещения, ранее отнесенные кредитной организацией на покрытие прямых потерь от реализации события операционного риска, повторному отнесению на иные прямые потери не подлежат.  
Информация об изменениях:  
*Подпункт 3.5.5 изменен с 1 октября 2024г. \- [Указание](http://ivo.garant.ru/document/redirect/408990212/153) Банка России от 15 января 2024г. N 6674-У*  
*[См. предыдущую редакцию](http://ivo.garant.ru/document/redirect/76824743/355)*"
**Глава 3\. Подходы к определению величины коэффициента внутренних потерь**,Пункт 3.5,Пункт 3.5.5,"Банк, получивший разрешение Банка России на применение банковских методик управления кредитным риском и моделей количественной оценки кредитного риска в целях расчета нормативов достаточности капитала с применением подхода на основе внутренних рейтингов в соответствии с [главой 6](http://ivo.garant.ru/document/redirect/408029783/600) Указания Банка России от 13 июня 2023года N6445-У ""О порядке получения разрешения на применение банковских методик управления кредитным риском и моделей количественной оценки кредитного риска, а также порядке оценки их качества"" (зарегистрировано Минюстом России 13 ноября 2023года, регистрационный N75923), не включает в расчет ПП потери от событий операционного риска, определяемые в виде сумм начисления дополнительных резервов по ссудной и приравненной к ней задолженности, предусмотренные [абзацем четвертым подпункта 3.12.1 пункта 3.12](http://ivo.garant.ru/document/redirect/74279372/31214) Положения Банка России N716-П, в случае если указанные потери учтены в количественных оценках компонентов кредитного риска, рассчитанных с применением моделей, разработанных в соответствии с [Положением](http://ivo.garant.ru/document/redirect/71203444/0) Банка России от 6 августа 2015года N483-П ""О порядке расчета величины кредитного риска на основе внутренних рейтингов"" (зарегистрировано Минюстом России 25 сентября 2015года, регистрационный N38996) с изменениями, внесенными Указаниями Банка России [от 1 декабря 2015года N3869-У](http://ivo.garant.ru/document/redirect/71292204/0) (зарегистрировано Минюстом России 22 декабря 2015года, регистрационный N40193), [от 10 марта 2019года N5091-У](http://ivo.garant.ru/document/redirect/72286130/0) (зарегистрировано Минюстом России 10 июня 2019года, регистрационный N54896), [от 27 февраля 2020года N5404-У](http://ivo.garant.ru/document/redirect/73853102/14) (зарегистрировано Минюстом России 31 марта 2020года, регистрационный N57915), [от 15 апреля 2020года N5442-У](http://ivo.garant.ru/document/redirect/73972093/0) (зарегистрировано Минюстом России 29 апреля 2020года, регистрационный N58242), [от 12 января 2021года N5705-У](http://ivo.garant.ru/document/redirect/400697303/12) (зарегистрировано Минюстом России 15 апреля 2021года, регистрационный N63150), [от 20 апреля 2021года N5783-У](http://ivo.garant.ru/document/redirect/400924741/11) (зарегистрировано Минюстом России 11 июня 2021года, регистрационный N63866), [от 6 июля 2021года N5849-У](http://ivo.garant.ru/document/redirect/402617260/1) (зарегистрировано Минюстом России 9 августа 2021года, регистрационный N64580), [от 7 июня 2023года N6443-У](http://ivo.garant.ru/document/redirect/407030464/1) (зарегистрировано Минюстом России 9 июня 2023года, регистрационный N73792)."
**Глава 3\. Подходы к определению величины коэффициента внутренних потерь**,Пункт 3.6,,Кредитная организация осуществляет отнесение возмещений на покрытие прямых потерь от реализации события операционного риска с учетом требований [пункта6.17](http://ivo.garant.ru/document/redirect/74279372/617) Положения Банка России N716-П и следующего.
**Глава 3\. Подходы к определению величины коэффициента внутренних потерь**,Пункт 3.6,Пункт 3.6.1,"Кредитная организация не учитывает возмещения по прямым потерям от реализации события операционного риска, в случае если они поступили от страховой организации, входящей в банковскую группу данной кредитной организации, по договорам имущественного страхования за счет страховых резервов и приводят к уменьшению собственных средств (капитала) страховой организации."
**Глава 3\. Подходы к определению величины коэффициента внутренних потерь**,Пункт 3.6,Пункт 3.6.2,"В случае если возмещение на покрытие прямых потерь поступило от страховой организации, входящей в банковскую группу, по договорам перестрахования со страховыми организациями, не входящими в банковскую группу, указанные возмещения могут быть учтены в расчете СЧП.  
Информация об изменениях:  
*Пункт 3.7 изменен с 1 октября 2024г. \- [Указание](http://ivo.garant.ru/document/redirect/408990212/16) Банка России от 15 января 2024г. N 6674-У*  
*[См. предыдущую редакцию](http://ivo.garant.ru/document/redirect/76824743/37)*"
**Глава 3\. Подходы к определению величины коэффициента внутренних потерь**,Пункт 3.7,,"Кредитная организация осуществляет перерасчет СЧП по состоянию на дату, указанную в [пункте1.4](#bookmark=id.1t3h5sf) настоящего Положения, на основании произведенных кредитной организацией корректировок в бухгалтерском учете и учтенных величин возмещений, поступивших в период с 1 января расчетногогода до даты составления годовой бухгалтерской (финансовой) отчетности расчетногогода."
**Глава 4\. Документирование расчета размера операционного риска и информационного обмена с Банком России**,Пункт 4.1,,"Кредитная организация назначает должностное лицо из числа работников кредитной организации, уполномоченное осуществлять взаимодействие с Банком России по вопросам расчета размера операционного риска и соблюдения требований настоящего Положения (далее \- уполномоченный представитель кредитной организации), и в течение 10 рабочих дней с даты начала применения настоящего Положения направляет в Банк России письмо, содержащее контактные данные уполномоченного представителя кредитной организации.  
Информация об изменениях:  
*Пункт 4.2 изменен с 1 октября 2024г. \- [Указание](http://ivo.garant.ru/document/redirect/408990212/17) Банка России от 15 января 2024г. N 6674-У*  
*[См. предыдущую редакцию](http://ivo.garant.ru/document/redirect/76824743/42)*"
**Глава 4\. Документирование расчета размера операционного риска и информационного обмена с Банком России**,Пункт 4.2,,"Информационный обмен с Банком России осуществляется уполномоченным представителем кредитной организации с использованием личного кабинета в соответствии с порядком взаимодействия, определенным на основании [частей первой](http://ivo.garant.ru/document/redirect/12127405/731) и [четвертой статьи 731](http://ivo.garant.ru/document/redirect/12127405/7314) Федерального закона от 10 июля 2002года N86-ФЗ ""О Центральном банке Российской Федерации (Банке России)"" (далее \- порядок взаимодействия).
В случаях, когда технические возможности личного кабинета не позволяют передать требуемый объем материалов и данных, допускается их передача с использованием электронных носителей информации с сопроводительным письмом кредитной организации."
**Глава 4\. Документирование расчета размера операционного риска и информационного обмена с Банком России**,Пункт 4.3,,В целях регламентации расчета размера операционного риска кредитная организация определяет во внутренних документах следующее.
**Глава 4\. Документирование расчета размера операционного риска и информационного обмена с Банком России**,Пункт 4.3,Пункт 4.3.1,"При применении кредитной организацией в расчете размера операционного риска фиксированного КВП:
порядок и методику расчета размера операционного риска, БИ, КБИ;
методику расчета величины АПД, в случае если кредитная организация применяет способ расчета ВПФДi с учетом величины АПД;
порядок определения и исключения доходов и (или) расходов, а также активов, включаемых в расчет КБИ, в случае подачи уведомления об исключении части доходов и (или) расходов из расчета КБИ и (или) операций или сделок из расчета АПД (далее \- уведомление об исключении доходов и (или) расходов из расчета КБИ) в соответствии с [пунктом6.1](#bookmark=id.42ddq1a) настоящего Положения."
**Глава 4\. Документирование расчета размера операционного риска и информационного обмена с Банком России**,Пункт 4.3,Пункт 4.3.2,"При применении кредитной организацией в расчете размера операционного риска расчетного КВП, в дополнение к порядкам, процедурам и методикам, указанным в [подпункте4.3.1](#bookmark=id.1gf8i83) настоящего пункта:
порядок и методику расчета КВП;
порядок отнесения возмещений на покрытие прямых потерь от реализации событий операционного риска с учетом требований, установленных в [пункте3.6](#bookmark=id.1opuj5n) настоящего Положения;
порядок определения и исключения чистых прямых потерь из расчета ПП и пересчета СЧП в случае подачи уведомления об исключении потерь из расчета ПП в соответствии с [пунктом6.1](#bookmark=id.42ddq1a) настоящего Положения.  
Информация об изменениях:  
*Пункт 4.4 изменен с 1 октября 2024г. \- [Указание](http://ivo.garant.ru/document/redirect/408990212/18) Банка России от 15 января 2024г. N 6674-У*  
*[См. предыдущую редакцию](http://ivo.garant.ru/document/redirect/76824743/44)*"
**Глава 4\. Документирование расчета размера операционного риска и информационного обмена с Банком России**,Пункт 4.4,,"Кредитная организация рассматривает отчеты о расчете размера операционного риска, указанные в [подпункте4.4.1](#bookmark=id.2szc72q) и [подпункте4.4.2](#bookmark=id.184mhaj) настоящего пункта, в сроки, установленные во внутренних документах кредитной организации.
Кредитная организация предоставляет по состоянию на 1 января расчетного года отчеты о расчете размера операционного риска, указанные в [подпункте 4.4.1](#bookmark=id.2szc72q) и [подпункте 4.4.2](#bookmark=id.184mhaj) настоящего пункта, в Банк России не позднее 10 рабочих дней с даты представления в Банк России отчетности по [форме 0409135](http://ivo.garant.ru/document/redirect/406750235/1027) ""Информация об обязательных нормативах и о других показателях деятельности кредитной организации"" в соответствии с [пунктом 9](http://ivo.garant.ru/document/redirect/406750235/101695) Порядка составления и представления отчетности по форме 0409135, установленного [Указанием](http://ivo.garant.ru/document/redirect/408453743/0) Банка России N6406-У, на указанную отчетную дату или по запросу Банка России не позднее 15 рабочих дней со дня его получения.
В случае если кредитная организация отражает в бухгалтерском учете корректирующие события после отчетной даты года, предшествующего расчетному году, влияющие на расчет величины БИ и КВП данной кредитной организации, и учитывает величины возмещений в соответствии с [пунктом 3.7](#bookmark=id.1302m92) настоящего Положения, кредитная организация проводит перерасчет БИ и КВП на дату составления годовой бухгалтерской (финансовой) отчетности, корректировку отчетов, указанных в [подпункте 4.4.1](#bookmark=id.2szc72q) и [подпункте 4.4.2](#bookmark=id.184mhaj) настоящего пункта, и представляет их в Банк России не позднее 10 рабочих дней с даты представления в Банк России отчетности по [форме 0409135](http://ivo.garant.ru/document/redirect/406750235/1027) ""Информация об обязательных нормативах и о других показателях деятельности кредитной организации"" в соответствии с [пунктом 9](http://ivo.garant.ru/document/redirect/406750235/101695) Порядка составления и представления отчетности по форме 0409135, установленного [Указанием](http://ivo.garant.ru/document/redirect/408453743/0) Банка России N6406-У, составленной на отчетную дату, следующую за датой перерасчета.
В случае если кредитная организация проводит перерасчет БИ и КВП на дату составления годовой бухгалтерской (финансовой) отчетности и учитывает величину возмещений в соответствии с [пунктом 3.7](#bookmark=id.1302m92) настоящего Положения, кредитная организация при предоставлении отчетов в Банк России указывает период учета возмещений в расчетном году, который завершается в дату составления годовой бухгалтерской (финансовой) отчетности."
**Глава 4\. Документирование расчета размера операционного риска и информационного обмена с Банком России**,Пункт 4.4,Пункт 4.4.1,"Кредитная организация, применяющая в расчете размера операционного риска фиксированный КВП, формирует следующие отчеты:
отчет о расчете величины бизнес-индикатора и размера операционного риска (рекомендуемый образец приведен в [приложении 7](#bookmark=id.4ev95cb) к настоящему Положению);
отчет о расчете величины активов, приносящих процентный доход (рекомендуемый образец приведен в [приложении 1](#bookmark=id.356xmb2) к настоящему Положению), в случае если кредитная организация применяет способ расчета ВПФДi с учетом величины АПД;
отчет о величинах, исключаемых из расчета показателя бизнес-индикатора ([таблица 2](#bookmark=id.4jzt0ds) приложения 7 к настоящему Положению), в случае если в соответствии с [пунктом6.6](#bookmark=id.11si5id) настоящего Положения кредитная организация рассчитывает размер операционного риска с исключением доходов и (или) расходов из расчета КБИ и (или) операций или сделок из расчета АПД."
**Глава 4\. Документирование расчета размера операционного риска и информационного обмена с Банком России**,Пункт 4.4,Пункт 4.4.2,"Кредитная организация, применяющая в расчете размера операционного риска расчетный КВП, в дополнение к отчетам, указанным в [подпункте4.4.1](#bookmark=id.2szc72q) настоящего пункта, формирует следующие отчеты:
отчет о расчете величины коэффициента внутренних потерь для кредитных организаций, применяющих расчетный коэффициент внутренних потерь (рекомендуемый образец приведен в [приложении 3](#bookmark=id.1zpvhna) к настоящему Положению);
отчет о чистых прямых потерях, исключаемых кредитной организацией из расчета показателя потерь ([таблица 2](#bookmark=id.21od6so) приложения 3 к настоящему Положению), в случае если в соответствии с [пунктом6.6](#bookmark=id.11si5id) настоящего Положения кредитная организация рассчитывает размер операционного риска с исключением потерь из расчета ПП."
**Глава 4\. Документирование расчета размера операционного риска и информационного обмена с Банком России**,Пункт 4.4,Пункт 4.4.3,Кредитная организация при предоставлении в Банк России информации в соответствии с [подпунктом4.4.1](#bookmark=id.2szc72q) и [подпунктом4.4.2](#bookmark=id.184mhaj) настоящего пунктаобеспечивает ее полноту и достоверность.
**Глава 4\. Документирование расчета размера операционного риска и информационного обмена с Банком России**,Пункт 4.5,,"Внутренние документы, разработанные в соответствии с [пунктом4.3](#bookmark=id.319y80a) настоящего Положения, и отчеты, указанные в [пункте4.4](#bookmark=id.upglbi) настоящего Положения, должны храниться кредитной организацией не менее 10 лет со дня рассмотрения отчетов кредитной организацией или признания внутренних документов, разработанных в соответствии с пунктом4.3 настоящего Положения, утратившими силу."
**Глава 5\. Направление кредитной организацией уведомления о применении расчетного коэффициента внутренних потерь для расчета размера операционного риска**,,,"Информация об изменениях:  
*Пункт 5.1 изменен с 1 октября 2024г. \- [Указание](http://ivo.garant.ru/document/redirect/408990212/19) Банка России от 15 января 2024г. N 6674-У*  
*[См. предыдущую редакцию](http://ivo.garant.ru/document/redirect/76824743/51)*"
**Глава 5\. Направление кредитной организацией уведомления о применении расчетного коэффициента внутренних потерь для расчета размера операционного риска**,Пункт 5.1,,"Кредитная организация вправе подать уведомление о применении расчетного КВП при соблюдении следующих требований:
соответствует критериям, установленным [абзацами вторым](#bookmark=id.2u6wntf), [четвертым](#bookmark=id.3tbugp1) и [пятым подпункта 3.2.2 пункта 3.2](#bookmark=id.28h4qwu) настоящего Положения;
до расчетной даты начала применения кредитной организацией расчетного КВП, указанной в уведомлении о применении расчетного КВП, имеет в наличии данные о прямых потерях от реализации событий операционного риска и связанных с ними возмещениях в соответствии с требованиями [пунктов 6.1 \- 6.20](http://ivo.garant.ru/document/redirect/74279372/61) Положения Банка России N716-П, за период расчета ПП, применяемый кредитной организацией в соответствии с [пунктом 3.4](#bookmark=id.3hv69ve) настоящего Положения;
обеспечивает полноту и корректность ведения базы событий за период расчета ПП, применяемый кредитной организацией в соответствии с [пунктом 3.4](#bookmark=id.3hv69ve) настоящего Положения;
обеспечивает соблюдение контрольных значений контрольных показателей уровня операционного риска, установленных [абзацами седьмым](http://ivo.garant.ru/document/redirect/74279372/101117) и [восьмым подпункта 1.1.1 пункта 1](http://ivo.garant.ru/document/redirect/74279372/101118) приложения 1 к Положению Банка России N716-П, за период расчета ПП, применяемый кредитной организацией в соответствии с [пунктом 3.4](#bookmark=id.3hv69ve) настоящего Положения;
на дату направления уведомления о применении расчетного КВП относится к группе 1 или группе 2 в соответствии с [главой 2](http://ivo.garant.ru/document/redirect/71682362/2) Указания Банка России от 3 апреля 2017года N4336-У ""Об оценке экономического положения банков"" (зарегистрировано Минюстом России 19 мая 2017года, регистрационный N46771) с изменениями, внесенными Указаниями Банка России [от 26 декабря 2017года N4667-У](http://ivo.garant.ru/document/redirect/71902898/0) (зарегистрировано Минюстом России 15 марта 2018года, регистрационный N50380), [от 3 мая 2018года N4789-У](http://ivo.garant.ru/document/redirect/71952638/0) (зарегистрировано Минюстом России 23 мая 2018года, регистрационный N51155), [от 27 ноября 2018года N4976-У](http://ivo.garant.ru/document/redirect/72184622/0) (зарегистрировано Минюстом России 22 февраля 2019года, регистрационный N53872), в случае если кредитная организация является банком;
банк, указанный в [пункте 9.1](http://ivo.garant.ru/document/redirect/74279372/91) Положения Банка России N716-П, соблюдает требования, указанные в [подпункте 9.1.1 пункта 9.1](http://ivo.garant.ru/document/redirect/74279372/911) Положения Банка России N716-П;
банк, указанный в [пункте 9.2](http://ivo.garant.ru/document/redirect/74279372/92) Положения Банка России N716-П, соблюдает требования, указанные в [подпункте 9.2.1 пункта 9.2](http://ivo.garant.ru/document/redirect/74279372/921) Положения Банка России N716-П;
кредитная организация, указанная в [пункте 9.3](http://ivo.garant.ru/document/redirect/74279372/93) Положения Банка России N716-П, соблюдает требования, указанные в [подпункте 9.3.1 пункта 9.3](http://ivo.garant.ru/document/redirect/74279372/931) Положения Банка России N716-П;
кредитная организация, указанная в [абзаце первом пункта 9.4](http://ivo.garant.ru/document/redirect/74279372/94) Положения Банка России N716-П, соблюдает требования, указанные в пункте 9.4 Положения Банка России N716-П;
уполномоченное подразделение кредитной организации осуществило оценку соблюдения кредитной организацией требований, указанных в [абзацах третьем \- пятом](#bookmark=id.45jfvxd), [седьмом \- десятом](#bookmark=id.1yyy98l) настоящего пункта.  
Информация об изменениях:  
*Положение дополнено пунктом 5.11 с 1 октября 2024г. \- [Указание](http://ivo.garant.ru/document/redirect/408990212/110) Банка России от 15 января 2024г. N 6674-У*
5.11. Кредитная организация вправе подать уведомление о применении расчетного КВП до завершения периода расчета ПП, планируемого к применению кредитной организацией в соответствии с [пунктом 3.4](#bookmark=id.3hv69ve) настоящего Положения, при соблюдении требований, указанных в [абзацах втором](#bookmark=id.1ljsd9k), [шестом \- десятом пункта 5.1](#bookmark=id.3jtnz0s) настоящего Положения, и при одновременном соблюдении следующих требований:
кредитная организация должна соблюдать требования [абзацев третьего \- пятого пункта 5.1](#bookmark=id.45jfvxd) настоящего Положения за период расчета ПП, уменьшенный на срок, указанный в [абзаце третьем](#bookmark=id.3bj1y38) настоящего пункта и [пункте 5.2](#bookmark=id.1qoc8b1) настоящего Положения;
период оценки, указанной в [абзаце одиннадцатом пункта 5.1](#bookmark=id.3x8tuzt) настоящего Положения, должен быть завершен не позднее, чем за 3 месяца до даты направления уведомления о применении расчетного КВП.  
Информация об изменениях:  
*Пункт 5.2 изменен с 1 октября 2024г. \- [Указание](http://ivo.garant.ru/document/redirect/408990212/111) Банка России от 15 января 2024г. N 6674-У*  
*[См. предыдущую редакцию](http://ivo.garant.ru/document/redirect/76824743/52)*"
**Глава 5\. Направление кредитной организацией уведомления о применении расчетного коэффициента внутренних потерь для расчета размера операционного риска**,Пункт 5.2,,"Кредитная организация в целях применения расчетного КВП в соответствии с решением единоличного или коллегиального исполнительного органа, принятым в соответствии с порядком, определенным во внутренних документах кредитной организации, направляет в Банк России уведомление о применении расчетного КВП (рекомендуемый образец приведен в [приложении 8](#bookmark=id.whl27l) к настоящему Положению) с приложением документов, примерный перечень которых приведен в [приложении 9](#bookmark=id.3gh8kve) к настоящему Положению, не позднее чем за 40 рабочих дней до запланированной даты начала применения кредитной организацией расчетного КВП, соответствующей дате, по состоянию на которую составляется отчетность по [форме 0409135](http://ivo.garant.ru/document/redirect/406750235/1027), установленная [Указанием](http://ivo.garant.ru/document/redirect/408453743/0) Банка России N6406-У, с использованием личного кабинета в соответствии с порядком взаимодействия."
